# DESCRIPTION:
# Reference: Rasmussen, S.O., Bigler, M., Blockley, S.P., Blunier, T., Buchardt, S.L., Clausen, H.B., Cvijanovic, I., Dahl-Jensen, D., Johnsen, S.J., Fischer, H., Gkinis, V., Guillevic, M., Hoek, W.Z., Lowe, J.J., Pedro, J.B., Popp, T., Seierstad, I.K., Steffensen, J.P., Svensson, A.M., Vallelonga, P., Vinther, B.M., Walker, M.J.C., Wheatley, J.J., Winstrup, M., 2014. A stratigraphic framework for abrupt climatic changes during the Last Glacial period based on three synchronized Greenland ice-core records: refining and extending the INTIMATE event stratigraphy. Quaternary Science Reviews 106, 14-28, https://doi.org/10.1016/j.quascirev.2014.09.007
# Data from: https://www.iceandclimate.nbi.ku.dk/data/. Accessed 28 Oct 2022.
# Comment: NGRIP1 and NGRIP2 were combined, double dates were removed, years were converted to kyr

Age [kyr b2k] (GICC05),δ18O [‰],Ca2+ [ppb]
17.19,-40.55,318.07
17.21,-40.18,356.79
17.23,-41.24,271.02
17.25,-42.24,315.14
17.27,-39.82,253.24
17.29,-39.79,256.74
17.31,-41.55,358.37
17.33,-40.57,369.05
17.35,-40.66,282.21
17.37,-39.93,329.99
17.39,-41.25,382.85
17.41,-42.96,405.24
17.43,-42.37,406.27
17.45,-41.53,296.41
17.47,-40.75,358.21
17.49,-40.74,285.9
17.51,-41.43,318
17.53,-41.23,277.15
17.55,-38.88,264.77
17.57,-40.45,224.88
17.59,-41.87,248.32
17.61,-39.58,273.38
17.63,-39.7,221.12
17.65,-40.89,233.01
17.67,-40.05,175.46
17.69,-40.7,181.2
17.71,-42.52,251.68
17.73,-41.38,178.03
17.75,-41.31,187.62
17.77,-41.04,186.02
17.79,-40.89,144.14
17.81,-38.95,140.86
17.83,-41.46,198.76
17.85,-42.38,255.05
17.87,-43.39,211.93
17.89,-41.12,239.45
17.91,-40.93,201.02
17.93,-42.51,332.82
17.95,-41.74,208.68
17.97,-43.52,265.91
17.99,-42.27,275.03
18.01,-42.68,311.11
18.03,-41.85,295.43
18.05,-40.51,245.91
18.07,-42.83,187.27
18.09,-42.84,214.4
18.11,-42.81,231.43
18.13,-42.97,205.15
18.15,-40.59,206.19
18.17,-40.68,177.72
18.19,-40.98,234.55
18.21,-42.29,257.67
18.23,-41.83,231.68
18.25,-41.63,238.06
18.27,-44.37,228.28
18.29,-42.14,237.46
18.31,-40.73,190.02
18.33,-43.79,262.1
18.35,-42.43,168.74
18.37,-43.01,250.12
18.39,-42.34,218.45
18.41,-41.91,170.02
18.43,-42.1,184.17
18.45,-42.26,154.33
18.47,-42.84,192.04
18.49,-40.04,158.59
18.51,-42.21,215.9
18.53,-41.73,143.67
18.55,-39.91,142.82
18.57,-40.94,185.8
18.59,-42.87,191.35
18.61,-41.4,181.95
18.63,-40.38,188.51
